h1,h2,hour,weight
228,5070,394677,1
228,5125,394678,1
228,5162,394678,1
228,5228,394719,1
228,5411,394728,1
228,5473,394742,1
228,5489,394728,1
228,5588,394687,1
228,6013,394742,1
228,6034,394726,1
228,6047,394702,1
228,6047,394721,1
228,6047,394725,1
228,6047,394726,3
228,6047,394737,1
228,6047,394742,1
228,6051,394724,1
228,6191,394675,1
228,6210,394677,1
228,6296,394687,1
228,6383,394676,1
228,6388,394677,1
228,6388,394678,1
228,6388,394679,1
228,6396,394677,1
228,6593,394676,1
228,6719,394737,1
228,6728,394739,1
228,6822,394676,1
228,6822,394689,1
228,6849,394676,1
228,6849,394707,1
228,6854,394707,1
228,6873,394727,1
228,6873,394737,1
228,6894,394707,1
228,6898,394707,1
228,7062,394702,1
228,7287,394702,1
228,7368,394677,1
228,7368,394679,1
228,7368,394723,1
228,7368,394737,1
228,7394,394723,1
228,7394,394726,1
228,7484,394687,1
228,7695,394725,1
228,7708,394676,1
228,7785,394676,1
228,7932,394676,1
228,7932,394677,1
228,8047,394675,1
228,8192,394676,1
228,8216,394725,1
228,8302,394689,1
228,8562,394676,1
228,9059,394753,1
228,9728,394739,1
228,10049,394702,1
228,10104,394676,1
228,10210,394687,1
228,10220,394675,1
228,10220,394676,1
228,10220,394677,1
228,10650,394674,1
228,10707,394676,1
228,10707,394677,1
228,10884,394676,1
228,10886,394676,1
228,10906,394674,1
228,11021,394702,1
228,11086,394681,1
228,11268,394676,1
228,11546,394719,1
228,11737,394674,1
228,12092,394702,1
228,12150,394679,1
228,12717,394702,1
228,12723,394687,1
228,13018,394679,1
228,13186,394727,1
228,13340,394702,1
228,13415,394753,1
228,13421,394773,1
228,13574,394674,1
228,14190,394687,1
228,14867,394737,1
228,14968,394707,1
228,15148,394676,1
228,15504,394676,1
228,15596,394676,2
228,15596,394677,1
228,15596,394682,1
228,15596,394702,1
228,16286,394739,1
228,16564,394702,1
228,16655,394678,1
228,16665,394676,1
228,17027,394727,1
228,17452,394687,1
230,570,394727,1
230,1794,394727,1
230,2695,394727,1
230,3271,394727,1
230,4243,394727,1
230,4447,394727,1
230,6047,394727,1
230,6253,394727,1
230,6621,394727,1
230,7368,394727,1
230,7409,394727,1
230,12717,394727,1
230,15342,394727,1
230,15553,394727,1
230,16236,394727,1
230,16656,394727,1
232,1859,394678,1
232,3635,394678,1
232,6431,394678,1
233,234,394727,1
233,4447,394727,1
233,4566,394727,1
233,7368,394727,1
234,4447,394727,1
234,4566,394727,1
234,7368,394727,1
236,4134,394740,1
237,238,394754,1
238,1811,394790,1
238,6600,394790,1
238,10676,394695,1
238,10917,394695,1
238,10922,394695,1
238,11586,394695,1
238,14300,394695,1
238,15870,394695,1
238,16001,394695,1
238,16013,394695,1
238,16244,394695,1
239,1395,394723,1
241,945,394725,1
241,3247,394682,1
241,6682,394725,1
241,9399,394725,1
241,10015,394725,1
242,2379,394694,1
242,2379,394695,1
242,2442,394694,1
242,12097,394694,1
244,859,394676,1
244,1811,394675,1
244,2298,394675,2
244,2303,394675,2
244,3420,394675,1
244,3420,394676,1
244,4030,394676,1
244,4447,394676,1
244,5070,394675,1
244,6191,394675,1
244,7053,394676,1
244,7932,394676,1
244,8047,394675,1
244,8431,394676,1
244,10220,394675,1
244,10220,394676,1
244,15500,394676,1
245,1067,394679,1
245,8039,394679,1
246,430,394724,1
246,432,394724,1
246,433,394724,1
246,9104,394724,1
246,9176,394724,1
246,9247,394724,1
246,9267,394724,1
246,9314,394724,1
246,9320,394724,1
246,9400,394724,1
246,9469,394724,1
247,9177,394724,1
248,324,394726,1
248,430,394703,1
248,430,394724,1
248,430,394725,1
248,430,394726,1
248,431,394719,1
248,431,394722,1
248,431,394723,1
248,431,394724,1
248,431,394725,2
248,433,394726,1
248,434,394725,1
248,435,394703,1
248,675,394726,1
248,1056,394726,1
248,1266,394726,1
248,1285,394726,1
