manifestacion,hour,hour_rel,q_fixed,q_reoptimized,ami_weighted,pairwise_weighted,community_entropy_norm
ch,394732,7.5,0.002571387755749904,0.6783384390723957,0.0,0.000314626184764227,0.8461771603551452
ch,394733,8.0,0.019224359391259098,0.739283217351717,0.0,0.0006882447791717466,0.8440837886527153
ch,394734,8.5,0.04810595572432525,0.7965490113348188,0.0,0.0016124591969166634,0.8539701138168012
ch,394735,9.0,0.036459595625766554,0.7608061412592446,0.0,0.0020254060644197113,0.8534712460792103
ch,394736,9.5,0.041763480065034345,0.7981819808779637,0.0,0.0020450702009674757,0.8509557490995067
ch,394737,10.0,0.05022234404647536,0.8144312064060633,0.0,0.002517009478113816,0.864750633370262
ch,394738,10.5,0.045307478191000915,0.8551351584022039,0.0,0.0013764895583434932,0.8726933097188468
ch,394739,11.0,0.022626008022656106,0.7846246958283849,0.0,0.00084555787155386,0.8590444163052362
ch,394740,11.5,0.022137412510471348,0.7355551966725882,0.0,0.0008848861446493885,0.8485966692153253
ch,394741,12.0,0.012503612120992057,0.7464162464502874,0.0,0.0005899240964329256,0.8503814494020787
ch,394742,12.5,0.024504927576145353,0.8215543172974423,0.0,0.001042199237031502,0.8794535888639184
ch,394743,13.0,0.03567729901508834,0.8788891082948229,0.0,0.0012978330121524364,0.8745923836725433
ch,394744,13.5,0.006672668318934009,0.7583743934531227,0.0,0.0014944743776300782,0.8075546352432444
ch,394745,14.0,-0.0036450983539656643,0.6708845747471771,0.0,0.0014158178314390216,0.7788808435527466
ch,394746,14.5,0.0012882655450362232,0.6254308802681197,0.0,0.002005741927871947,0.7263533659675171
ch,394747,15.0,0.011470850769762354,0.7327257663344833,0.0,0.002733314980139222,0.7535014805460647
ch,394748,15.5,0.007782163266384315,0.8122033741602023,0.0,0.0009242144177449168,0.815551326642921
ch,394749,16.0,0.027807690707595024,0.7966788380733548,0.0,0.0011208557832225587,0.8222268073350794
ch,394750,16.5,0.026400160840305043,0.755069303563618,0.0,0.0014158178314390216,0.8009783738447311
ch,394751,17.0,0.012502657312925169,0.6986662503543084,0.0,0.0011405199197703228,0.8323892612370276
ch,394752,17.5,0.01942773987723957,0.7827252318082599,0.0,0.0003932827309552838,0.8578671015780047
ch,394753,18.0,0.0138082312839288,0.7944072718091151,0.0,0.00021630550202540605,0.8699636760567626
ch,394754,18.5,-0.0012755102040816286,0.7551020408163265,0.0,3.9328273095528376e-05,0.9289039586334208
ch,394755,19.0,-0.009695290858725766,0.8753462603878115,0.0,1.9664136547764188e-05,0.9645449166306005
ch,394756,19.5,-0.008011536612722322,0.810126582278481,0.0,0.0001376489558343493,0.9257896873160201
ch,394757,20.0,0.01794285714285715,0.8498448979591837,0.0,0.00025563377512093446,0.8976164235577213
ch,394758,20.5,0.012102237125099497,0.8279543260681806,0.0,0.00023596963857317024,0.8737379823363832
ch,394759,21.0,0.011711019922543676,0.8702409280190363,0.0,0.0003932827309552838,0.8707054087160286
ch,394760,21.5,-0.0013051798454221145,0.9056066996135553,0.0,0.00025563377512093446,0.8968805739339355
ch,394761,22.0,0.012295473414299044,0.8876117074556538,0.0,0.00037361859440751956,0.884239739007211
ch,394762,22.5,0.017382637037916975,0.8689119007491332,0.0,0.0008848861446493885,0.8861443398050629
ch,394763,23.0,0.013308212630399581,0.875142488454603,0.0,0.0007865654619105675,0.8920224847312037
ch,394764,23.5,0.02437270984493679,0.8220746681550147,0.0,0.00084555787155386,0.9046328117325274
ch,394765,24.0,0.018555239752939535,0.8582376745176666,0.0,0.0002752979116686986,0.8921445593277787
