manifestacion,hour,hour_rel,q_fixed,q_reoptimized,ami_weighted,pairwise_weighted,community_entropy_norm
9n,437089,26.0,,,0.0,0.0,
9n,437090,26.5,,,0.0,0.0,
9n,437091,27.0,,,0.0,0.0,
9n,437092,27.5,,,0.0,0.0,
9n,437093,28.0,,,0.0,0.0,
9n,437094,28.5,,,0.0,0.0,
9n,437095,29.0,,,0.0,0.0,
9n,437096,29.5,,,0.0,0.0,
9n,437097,30.0,,,0.0,0.0,
9n,437098,30.5,,,0.0,0.0,
9n,437099,31.0,,,0.0,0.0,
9n,437100,31.5,,,0.0,0.0,
9n,437101,32.0,,,0.0,0.0,
9n,437102,32.5,,,0.0,0.0,
9n,437103,33.0,,,0.0,0.0,
9n,437104,33.5,,,0.0,0.0,
9n,437105,34.0,,,0.0,0.0,
9n,437106,34.5,,,0.0,0.0,
9n,437107,35.0,,,0.0,0.0,
9n,437108,35.5,,,0.0,0.0,
9n,437109,36.0,,,0.0,0.0,
